Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
1096.0,173.0,0.6587797615551737,7.0,207.0,Splitting,[908.0],02d00h00m,VID289,D5
905.0,593.0,4.180739753642784,3.0,366.0,Move,,02d00h00m,VID289,D5
1097.0,1158.0,11.408641495181335,18.0,536.0,Splitting,[909.0],02d00h00m,VID289,D5
1098.0,701.0,5.373387008253272,8.0,588.0,Splitting,[909.0],02d00h00m,VID289,D5
1099.0,304.0,1.5345515047752323,5.0,822.0,Splitting,[1072.0],02d00h00m,VID289,D5
1100.0,453.0,2.791376365510988,8.0,946.0,Edge Appearance type 2,,02d00h00m,VID289,D5
1101.0,2309.0,32.12232659659134,31.0,302.0,Appearance type 2,,02d00h00m,VID289,D5
764.0,1712.0,20.508161769150806,30.0,152.0,Move,,02d00h00m,VID289,D5
1102.0,466.0,2.912392936237687,47.0,564.0,Splitting,[909.0],02d00h00m,VID289,D5
777.0,1686.0,20.042756462371212,64.0,463.0,Move,,02d00h00m,VID289,D5
1103.0,1220.0,12.337036226904125,65.0,946.0,Appearance type 2,,02d00h00m,VID289,D5
445.0,3371.0,56.664260164138916,81.0,668.0,Possible Coagulation,"[766.0, 770.0, 445.0, 776.0]",02d00h00m,VID289,D5
771.0,2519.0,36.602718787743115,91.0,232.0,Move,,02d00h00m,VID289,D5
1105.0,185.0,0.7284985414730539,69.0,371.0,Splitting,[32.0],02d00h00m,VID289,D5
464.0,1954.0,25.0067891960345,97.0,31.0,Move,,02d00h00m,VID289,D5
1106.0,295.0,1.4669121913623366,86.0,274.0,Appearance type 2,,02d00h00m,VID289,D5
1107.0,286.0,1.4002969526533742,92.0,874.0,Splitting,[1072.0],02d00h00m,VID289,D5
451.0,2151.0,28.88229567044182,118.0,498.0,Possible Coagulation,"[1085.0, 451.0]",02d00h00m,VID289,D5
648.0,2733.0,41.364763111082254,138.0,401.0,Move large,[648.0],02d00h00m,VID289,D5
1110.0,1283.0,13.30488357419443,128.0,751.0,Splitting,[445.0],02d00h00m,VID289,D5
68.0,3748.0,66.43095063989385,158.0,827.0,Possible Coagulation,"[68.0, 1061.0]",02d00h00m,VID289,D5
1112.0,388.0,2.212680366972102,128.0,596.0,Splitting,[451.0],02d00h00m,VID289,D5
1113.0,542.0,3.653171188281256,133.0,275.0,Splitting,[631.0],02d00h00m,VID289,D5
1114.0,3155.0,51.306234212358596,171.0,942.0,Possible Coagulation,"[68.0, 673.0]",02d00h00m,VID289,D5
1115.0,1887.0,23.73170516956129,168.0,669.0,Splitting,[445.0],02d00h00m,VID289,D5
1116.0,170.0,0.6417183764583291,153.0,474.0,Splitting,[648.0],02d00h00m,VID289,D5
922.0,3989.0,72.94023336571746,192.0,107.0,Move,,02d00h00m,VID289,D5
1117.0,730.0,5.7102534410243315,171.0,45.0,Splitting,[469.0],02d00h00m,VID289,D5
932.0,1563.0,17.889967888359084,179.0,552.0,Move large,[932.0],02d00h00m,VID289,D5
1119.0,202.0,0.8311858632672322,166.0,625.0,Splitting,[653.0],02d00h00m,VID289,D5
1120.0,1346.0,14.296794799456684,188.0,316.0,Splitting,[648.0],02d00h00m,VID289,D5
472.0,1755.0,21.285643061649967,205.0,199.0,Move,,02d00h00m,VID289,D5
1121.0,1694.0,20.185578620415797,237.0,602.0,Splitting,[653.0],02d00h00m,VID289,D5
