Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
727.0,5.0,0.003236876283016213,44.0,698.0,Move,,01d18h00m,VID289,E4
801.0,8.0,0.00655097699744706,42.0,411.0,Appearance type 1,,01d18h00m,VID289,E4
728.0,34.0,0.057397036486864964,102.0,746.0,Move,,01d18h00m,VID289,E4
40.0,46.0,0.09032497322945274,118.0,977.0,Move,,01d18h00m,VID289,E4
534.0,48.0,0.09627930576273068,138.0,338.0,Move,,01d18h00m,VID289,E4
731.0,55.0,0.11809054535921516,173.0,470.0,Move,,01d18h00m,VID289,E4
83.0,82.0,0.214976937904994,197.0,395.0,Move,,01d18h00m,VID289,E4
735.0,94.0,0.2638535090893075,231.0,681.0,Move,,01d18h00m,VID289,E4
736.0,109.0,0.3294661803139742,220.0,519.0,Move large,[736.0],01d18h00m,VID289,E4
673.0,112.0,0.3431611606231755,220.0,420.0,Move,,01d18h00m,VID289,E4
738.0,140.0,0.4795823014944653,254.0,344.0,Move,,01d18h00m,VID289,E4
803.0,149.0,0.5265631907752397,263.0,548.0,Appearance type 2,,01d18h00m,VID289,E4
202.0,171.0,0.6473889160770508,345.0,386.0,Move,,01d18h00m,VID289,E4
775.0,214.0,0.9063412660398271,318.0,196.0,Move large and grow,[775.0],01d18h00m,VID289,E4
743.0,218.0,0.9318710810865638,335.0,481.0,Move,,01d18h00m,VID289,E4
744.0,258.0,1.1997773336923139,355.0,538.0,Move,,01d18h00m,VID289,E4
746.0,274.0,1.3130973903961065,383.0,822.0,Move,,01d18h00m,VID289,E4
186.0,286.0,1.4002969526533742,454.0,628.0,Move,,01d18h00m,VID289,E4
165.0,287.0,1.4076475834719608,397.0,321.0,Move,,01d18h00m,VID289,E4
689.0,327.0,1.7119564910383571,422.0,483.0,Move,,01d18h00m,VID289,E4
276.0,350.0,1.8957154977851052,559.0,338.0,Move,,01d18h00m,VID289,E4
648.0,374.0,2.094008775157967,480.0,967.0,Move large,[648.0],01d18h00m,VID289,E4
158.0,379.0,2.136140966689015,461.0,16.0,Move,,01d18h00m,VID289,E4
806.0,408.0,2.3859500015792343,477.0,114.0,Appearance type 1,,01d18h00m,VID289,E4
807.0,470.0,2.9499719121277503,528.0,127.0,Appearance type 1,,01d18h00m,VID289,E4
716.0,497.0,3.2077881380953346,589.0,556.0,Move,,01d18h00m,VID289,E4
220.0,498.0,3.2174744595427787,553.0,727.0,Move,,01d18h00m,VID289,E4
808.0,533.0,3.562557704387463,585.0,701.0,Appearance type 3,,01d18h00m,VID289,E4
794.0,556.0,3.7956248506185792,612.0,772.0,Move,,01d18h00m,VID289,E4
809.0,563.0,3.867529956541418,616.0,646.0,Appearance type 3,,01d18h00m,VID289,E4
796.0,623.0,4.501975881204027,674.0,481.0,Move,,01d18h00m,VID289,E4
287.0,639.0,4.676515533541748,708.0,641.0,Move,,01d18h00m,VID289,E4
718.0,641.0,4.698488176134566,675.0,772.0,Move,,01d18h00m,VID289,E4
253.0,696.0,5.315999769223129,726.0,508.0,Move,,01d18h00m,VID289,E4
340.0,703.0,5.396399352815665,760.0,365.0,Move,,01d18h00m,VID289,E4
765.0,705.0,5.419444455191553,730.0,555.0,Move,,01d18h00m,VID289,E4
345.0,743.0,5.863464696531418,770.0,478.0,Move large,[345.0],01d18h00m,VID289,E4
725.0,746.0,5.899012754963255,792.0,512.0,Move,,01d18h00m,VID289,E4
800.0,760.0,6.065847427410606,794.0,280.0,Move,,01d18h00m,VID289,E4
811.0,764.0,6.113798652290959,794.0,136.0,Appearance type 1,,01d18h00m,VID289,E4
812.0,771.0,6.198015544089397,795.0,739.0,Appearance type 3,,01d18h00m,VID289,E4
