Day,Total Area,Mean Area,Cluster Count,Total Volume,Mean Volume
0.25,260466.0,789.290909090909,330,6962849.084967737,21099.542681720417
0.375,215297.0,648.4849397590361,332,4837122.424293784,14569.645856306579
0.5,195462.0,645.0891089108911,303,4383883.886694737,14468.263652457877
0.625,182358.0,732.3614457831326,249,4374611.794403978,17568.72206587943
0.75,170166.0,838.256157635468,203,4377706.794804635,21565.058102485888
0.875,161598.0,907.8539325842696,178,4330807.603856178,24330.37979694482
1.0,155190.0,843.4239130434783,184,4145811.9772538575,22531.5868329014
1.125,154408.0,1152.2985074626865,134,5153969.517197589,38462.4590835641
1.25,151693.0,1319.0695652173913,115,5628784.464015561,48945.951861004876
1.375,148830.0,1503.3333333333333,99,6257831.542171631,63210.41961789526
1.5,137421.0,1526.9,90,5830577.531089559,64784.19478988399
1.625,141282.0,2047.5652173913043,69,7070824.21130246,102475.71320728204
1.75,136274.0,1946.7714285714285,70,6796846.981783219,97097.81402547455
1.875,139281.0,2048.25,68,6922136.517231446,101796.12525340362
2.0,125784.0,2062.032786885246,61,6257440.801542961,102580.99674660592
2.125,132519.0,2284.810344827586,58,7762571.744791143,133837.44387570934
2.25,129929.0,2451.490566037736,53,7786014.003202976,146905.9245887354
2.375,131069.0,2674.877551020408,49,8112343.460296457,165558.0298019685
2.5,131011.0,2787.468085106383,47,9116146.68337778,193960.56773144213
2.625,126416.0,2689.7021276595747,47,8403284.257147683,178793.28206697197
2.75,126995.0,2591.734693877551,49,8301458.4709375035,169417.51981505108
2.875,129283.0,3078.1666666666665,42,8613286.650351057,205078.25357978707
3.0,123810.0,2691.521739130435,46,8039463.210641267,174770.93936176668
3.125,133919.0,3619.4324324324325,37,11123007.360265166,300621.8205477072
3.25,131952.0,4123.5,32,11033314.319922289,344791.0724975715
3.375,130635.0,3732.4285714285716,35,10547011.237595595,301343.17821701703
3.5,128632.0,3675.2,35,10927620.25331119,312217.7215231769
3.625,125641.0,3926.28125,32,10809095.53254227,337784.2353919459
3.75,122756.0,3719.878787878788,33,10373645.402549637,314352.89098635264
3.875,123188.0,3732.969696969697,33,10161058.172081085,307910.8536994268
4.0,111743.0,3286.5588235294117,34,7775576.81612229,228693.43576830265
4.125,123514.0,4411.214285714285,28,10768115.16883736,384575.5417441914
4.25,118471.0,4231.107142857143,28,10248671.387251155,366023.9781161127
4.375,118669.0,4092.0344827586205,29,10185043.767444594,351208.4057739515
4.5,118802.0,4096.620689655172,29,10913177.378064286,376316.4613125616
4.625,120100.0,4289.285714285715,28,10803558.505581662,385841.37519934506
4.75,118262.0,4078.0,29,10666717.609890198,367817.8486169034
4.875,125860.0,5993.333333333333,21,17830554.140696723,849074.0066998439
5.0,102666.0,4666.636363636364,22,11675104.3782258,530686.5626466273
