Day,Total Area,Mean Area,Cluster Count,Total Volume,Mean Volume
0.25,164639.0,479.99708454810497,343,3049726.6286332863,8891.331278814247
0.375,158720.0,512.0,310,3018146.382572054,9735.956072813076
0.5,156609.0,541.8996539792388,289,3070017.1316221207,10622.89664921149
0.625,154723.0,564.6824817518249,274,3107850.282194897,11342.519278083566
0.75,150895.0,603.58,250,3100652.5832482856,12402.610332993143
0.875,152617.0,641.2478991596639,238,3275483.9061576584,13762.537420830498
1.0,159165.0,692.0217391304348,230,3564315.2163568474,15497.02267981238
1.125,159902.0,743.7302325581395,215,3763857.9240641794,17506.315925879906
1.25,163523.0,786.1682692307693,208,3985713.4210966956,19162.083755272575
1.375,165994.0,834.1407035175879,199,4221282.507885909,21212.47491399954
1.5,162953.0,866.7712765957447,188,4154803.70020394,22100.01968193585
1.625,167830.0,937.5977653631285,179,4458547.233840043,24908.085105251634
1.75,170219.0,983.9248554913295,173,4603050.986749658,26607.231137281262
1.875,169204.0,1031.7317073170732,164,4725937.609571818,28816.692741291576
2.0,168901.0,1055.63125,160,4809988.9492888525,30062.43093305533
2.125,171871.0,1130.7302631578948,152,5009201.458983904,32955.27275647305
2.25,173088.0,1218.9295774647887,142,5361065.529142114,37753.98259959235
2.375,171906.0,1219.1914893617022,141,5285839.478171949,37488.22324944645
2.5,173526.0,1239.4714285714285,140,5365128.112039236,38322.34365742312
2.625,169582.0,1256.1629629629629,135,5264214.814993467,38994.183814766424
2.75,168869.0,1250.8814814814814,135,5198159.997794872,38504.888872554606
2.875,165164.0,1260.793893129771,131,5063607.914001342,38653.4955267278
3.0,168388.0,1266.0751879699249,133,5342893.2877761815,40172.12998327956
3.125,167863.0,1301.2635658914728,129,5393460.64180162,41809.77241706682
3.25,165695.0,1315.0396825396826,126,5250720.396527837,41672.384099427276
3.375,164658.0,1360.809917355372,121,5387837.342499932,44527.58134297465
3.5,165284.0,1354.7868852459017,122,5395851.677283272,44228.29243674813
3.625,161547.0,1302.7983870967741,124,5237550.525408226,42238.310688776015
3.75,164076.0,1312.608,125,5288199.606806969,42305.596854455755
3.875,163160.0,1264.8062015503876,129,5161387.498227479,40010.75580021302
4.0,161244.0,1321.672131147541,122,5167209.279573373,42354.17442273256
4.125,160886.0,1329.6363636363637,121,5246453.706612525,43359.12154225227
4.25,162368.0,1309.4193548387098,124,5250181.31620016,42340.171904840005
4.375,160519.0,1326.603305785124,121,5199542.593911364,42971.42639596169
4.5,159316.0,1327.6333333333334,120,5171674.697475673,43097.2891456306
4.625,159435.0,1265.357142857143,126,5084928.500135534,40356.57539790107
4.75,157383.0,1269.217741935484,124,5102617.304759855,41150.139554514964
4.875,169749.0,1768.21875,96,7594690.513192058,79111.35951241727
5.0,165129.0,1920.1046511627908,86,7608059.421353168,88465.80722503684
