Day,Total Area,Mean Area,Cluster Count,Total Volume,Mean Volume
0.25,216284.0,630.5655976676385,343,4812804.583429736,14031.500243235381
0.375,190788.0,623.4901960784314,306,4137200.668152146,13520.263621412241
0.5,187360.0,646.0689655172414,290,4134617.003638104,14257.300012545187
0.625,176734.0,690.3671875,256,4033428.3942825394,15755.57966516617
0.75,166978.0,780.2710280373832,214,4209481.43212907,19670.473981911542
0.875,162234.0,911.4269662921348,178,4538246.555604512,25495.767166317484
1.0,149499.0,983.546052631579,152,4208428.533730293,27687.029827172977
1.125,151117.0,1314.0608695652174,115,5397669.583165411,46936.25724491662
1.25,151413.0,1577.21875,96,5917891.020174421,61644.69812681689
1.375,152345.0,2308.257575757576,66,7794196.881656252,118093.89214630684
1.5,157930.0,3158.6,50,9389652.20009871,187793.0440019742
1.625,157715.0,4638.676470588235,34,13457112.271239938,395797.4197423511
1.75,154930.0,5164.333333333333,30,15404429.865786321,513480.9955262107
1.875,146627.0,4312.558823529412,34,16982763.214042913,499493.03570714453
2.0,113401.0,3240.0285714285715,35,9924414.704575159,283554.70584500453
2.125,141447.0,5893.625,24,18453829.207177415,768909.550299059
2.25,134799.0,4648.241379310345,29,25261876.864076342,871099.202209529
2.375,136703.0,5468.12,25,26154274.40489269,1046170.9761957076
2.5,130813.0,5450.541666666667,24,23356843.30903007,973201.8045429196
2.625,126889.0,5287.041666666667,24,25274132.08198916,1053088.8367495483
2.75,118455.0,5384.318181818182,22,22596186.296252836,1027099.3771024016
2.875,114155.0,5707.75,20,21064465.20533607,1053223.2602668037
3.0,80567.0,2517.71875,32,12525057.409322234,391408.0440413198
3.125,108742.0,4027.4814814814813,27,20498618.93530157,759208.1087148729
3.25,106793.0,4449.708333333333,24,19919916.911735013,829996.5379889589
3.375,104953.0,5830.722222222223,18,20719629.41401561,1151090.523000867
3.5,103421.0,5443.210526315789,19,20504657.402637664,1079192.4948756665
3.625,105299.0,6581.1875,16,21057646.437372506,1316102.9023357816
3.75,109599.0,7306.6,15,22668484.658572834,1511232.3105715222
3.875,111534.0,9294.5,12,23720048.134130057,1976670.6778441714
4.0,81825.0,4545.833333333333,18,14286506.643228885,793694.8135127159
4.125,111668.0,7444.533333333334,15,23639046.913655438,1575936.4609103624
4.25,109855.0,6103.055555555556,18,22642482.712277982,1257915.7062376656
4.375,106376.0,6648.5,16,21568186.276616927,1348011.642288558
4.5,105806.0,7053.733333333334,15,21207543.241315797,1413836.21608772
4.625,104395.0,8030.384615384615,13,21119400.773711737,1624569.2902855182
4.75,103735.0,8644.583333333334,12,20976319.04734302,1748026.587278585
4.875,105040.0,10504.0,10,22853909.294579275,2285390.9294579276
5.0,77020.0,5134.666666666667,15,13564299.843032267,904286.6562021511
